func_id,func_name,compiled_ok,branch_coverage_pct,error_log
PY-001,set_merge,False,0.0,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxxxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
PY-002,_split_node,False,0.0,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxxxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
PY-005,get_centroids_mol_ids,False,0.0,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxxxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
PY-006,get_centroids,False,0.0,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxxxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
PY-007,get_cluster_mol_ids,False,0.0,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxxxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
PY-008,_get_BFs,False,0.0,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxxxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
PY-009,prepare_data_BFs,False,0.0,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxxxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
PY-010,_get_prune_indices,False,0.0,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxxxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
PY-013,merge_accept,False,0.0,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxxxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
PY-020,tsne_plot,False,0.0,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxxxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
PY-022,get_plot_metrics,False,0.0,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxxxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
PY-023,init_plot,False,0.0,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxxxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
PY-025,__init__,False,0.0,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxxxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
PY-027,merge_subcluster,False,0.0,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxxxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
