func_id,ms_gpt,ms_pynguin
PY-005,0.0,0.0
PY-006,0.0,0.0
PY-007,0.0,0.0
PY-008,0.0,0.0
PY-009,0.0,0.0
PY-020,0.0,0.0
PY-023,0.0,0.0
PY-025,0.0,0.0
PY-028,0.0,0.0
PY-011,0.0,0.0
PY-015,0.0,0.0
PY-016,0.0,0.0
PY-021,0.0,0.0
PY-037,0.0,0.0
PY-048,0.0,0.0
PY-042,0.0,0.0
PY-043,0.0,0.0
PY-049,0.0,0.0
PY-050,0.0,0.0
PY-051,0.0,0.0
PY-052,0.0,0.0
PY-053,0.0,0.0
PY-054,0.0,0.0
PY-055,0.0,0.0
PY-056,0.0,0.0
PY-057,0.0,0.0
PY-058,0.0,0.0
PY-060,0.0,0.0
PY-062,0.0,0.0
PY-063,0.0,0.0
PY-064,0.0,0.0
PY-065,0.0,0.0
PY-066,0.0,0.0
PY-067,0.0,0.0
PY-068,0.0,0.0
PY-069,0.0,0.0
PY-070,0.0,0.0
PY-071,0.0,0.0
PY-072,0.0,0.0
PY-073,0.0,0.0
PY-074,0.0,0.0
PY-075,0.0,0.0
PY-076,0.0,0.0
PY-077,0.0,0.0
PY-078,0.0,0.0
PY-079,0.0,0.0
PY-080,0.0,0.0
PY-081,0.0,0.0
PY-082,0.0,0.0
PY-083,0.0,0.0
